Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:08:27:11:01:04.666934,C9,_init_,ftdi: None,,None
2021:08:27:11:01:05.010363,C9,PING,,None,None
2021:08:27:11:01:05.161323,C9,BIAS,,None,None
2021:08:27:11:01:05.300628,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:08:27:11:01:05.423381,C9,BIAS,bias: 0,None,None
2021:08:27:11:01:05.530096,C9,HOME,if_needed: 1,None,None
2021:08:27:11:01:05.642797,C9,SPED,,None,None
2021:08:27:11:01:05.753503,C9,BIAS,,None,None
2021:08:27:11:01:05.833282,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:08:27:11:01:05.952972,C9,BIAS,bias: 2,None,None
2021:08:27:11:01:06.064663,C9,POS,"axes: 1,units: 1",None,None
2021:08:27:11:01:06.185527,C9,POS,"axes: 2,units: 1",None,None
2021:08:27:11:01:06.282301,C9,POS,"axes: 0,units: 1",None,None
2021:08:27:11:01:06.378044,C9,POS,C: 1,None,None
2021:08:27:11:01:07.406933,C9,JLEN,length_offset: 0,None,None
2021:08:27:11:01:10.637581,C9,POS,"axes: 1,units: 1",None,None
2021:08:27:11:01:12.400153,C9,POS,"axes: 2,units: 1",None,None
2021:08:27:11:01:14.171521,C9,POS,"axes: 0,units: 1",None,None
2021:08:27:11:01:15.967839,C9,POS,C: 1,None,None
2021:08:27:11:01:56.082395,C9,_init_,ftdi: None,,None
2021:08:27:11:01:57.745002,C9,PING,,None,None
2021:08:27:11:01:59.222287,C9,BIAS,,None,None
2021:08:27:11:02:00.693499,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:08:27:11:02:02.157691,C9,BIAS,bias: 0,None,None
2021:08:27:11:02:03.758021,C9,HOME,if_needed: 1,None,None
2021:08:27:11:02:05.269721,C9,CURR,axis: 0,None,None
2021:08:27:11:02:06.769570,C9,CURR,axis: 0,None,None
2021:08:27:11:02:08.163957,C9,CURR,axis: 0,None,None
2021:08:27:11:02:09.518538,C9,CURR,axis: 0,None,None
2021:08:27:11:02:10.915246,C9,CURR,axis: 0,None,None
2021:08:27:11:02:12.294662,C9,CURR,axis: 0,None,None
2021:08:27:11:02:13.685911,C9,CURR,axis: 0,None,None
2021:08:27:11:02:15.054823,C9,CURR,axis: 0,None,None
2021:08:27:11:02:16.424912,C9,CURR,axis: 0,None,None
2021:08:27:11:02:17.786493,C9,CURR,axis: 0,None,None
2021:08:27:11:02:18.788810,Tecan Cavro,_init_,ftdi: None,,None
2021:08:27:11:02:19.801518,Magnetic Stirrer,_init_,serial: COM9,,None
2021:08:27:11:02:20.795338,Magnetic Stirrer,IN_NAME,,None,None
2021:08:27:11:02:21.418719,Magnetic Stirrer,IN_PV_1,,None,None
2021:08:27:11:02:22.012035,Magnetic Stirrer,IN_PV_2,,None,None
2021:08:27:11:02:22.600304,Magnetic Stirrer,IN_SP_1,,None,None
2021:08:27:11:02:23.192521,Magnetic Stirrer,IN_PV_4,,None,None
2021:08:27:11:02:23.801265,Magnetic Stirrer,IN_SP_4,,None,None
2021:08:27:11:02:24.430451,Magnetic Stirrer,STOP_4,,None,None
2021:08:27:11:02:24.655242,Magnetic Stirrer,STOP_1,,None,None
2021:08:27:11:02:39.575987,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:40.086952,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:40.599476,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:41.110728,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:41.622622,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:42.133894,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:42.645898,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:43.157357,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
2021:08:27:11:02:43.669521,Tecan Cavro,_init_,ftdi: None,,b'\x80\x03cftdi_serial\nSerialDeviceOpenException\nq\x00X \x00\x00\x00Error opening FTDI serial deviceq\x01\x85q\x02Rq\x03.'
