Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:12:14:35:12.624833,C9,_init_,ftdi: None,,None
2021:10:12:14:35:13.311631,C9,PING,,None,None
2021:10:12:14:35:13.629483,C9,BIAS,,None,None
2021:10:12:14:35:13.937262,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:12:14:35:14.208438,C9,BIAS,bias: 0,None,None
2021:10:12:14:35:14.462164,C9,HOME,if_needed: 1,None,None
2021:10:12:14:35:14.871705,C9,CURR,axis: 0,None,None
2021:10:12:14:35:15.233219,C9,CURR,axis: 0,None,None
2021:10:12:14:35:15.603653,C9,CURR,axis: 0,None,None
2021:10:12:14:35:15.977323,C9,CURR,axis: 0,None,None
2021:10:12:14:35:16.362215,C9,CURR,axis: 0,None,None
2021:10:12:14:35:16.726712,C9,CURR,axis: 0,None,None
2021:10:12:14:35:17.104834,C9,CURR,axis: 0,None,None
2021:10:12:14:35:17.480779,C9,CURR,axis: 0,None,None
2021:10:12:14:35:17.863013,C9,CURR,axis: 0,None,None
2021:10:12:14:35:18.238818,C9,CURR,axis: 0,None,None
2021:10:12:14:35:18.570780,Tecan Cavro,_init_,ftdi: None,,None
2021:10:12:14:35:19.014285,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:12:14:35:19.211656,Magnetic Stirrer,IN_NAME,,None,None
2021:10:12:14:35:19.331480,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:12:14:35:19.450859,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:12:14:35:19.571542,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:12:14:35:19.689226,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:12:14:35:19.803101,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:12:14:35:19.926791,Magnetic Stirrer,STOP_4,,None,None
2021:10:12:14:35:19.983336,Magnetic Stirrer,STOP_1,,None,None
2021:10:12:14:35:29.179029,C9,_init_,ftdi: None,,None
2021:10:12:14:35:29.583488,C9,PING,,None,None
2021:10:12:14:35:29.743720,C9,BIAS,,None,None
2021:10:12:14:35:29.850430,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:12:14:35:29.957687,C9,BIAS,bias: 0,None,None
2021:10:12:14:35:30.047451,C9,HOME,if_needed: 1,None,None
2021:10:12:14:35:30.182677,C9,SPED,,None,None
2021:10:12:14:35:30.301363,C9,BIAS,,None,None
2021:10:12:14:35:30.390201,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:10:12:14:35:30.517860,C9,BIAS,bias: 2,None,None
2021:10:12:14:35:30.618460,C9,POS,"axes: 1,units: 1",None,None
2021:10:12:14:35:30.722186,C9,POS,"axes: 2,units: 1",None,None
2021:10:12:14:35:30.830892,C9,POS,"axes: 0,units: 1",None,None
2021:10:12:14:35:30.938869,C9,POS,C: 1,None,None
2021:10:12:14:35:31.590194,C9,ARM,"X: 159525, Y: 182500, Z: 187000, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:31.819834,C9,JLEN,length_offset: 0,None,None
2021:10:12:14:35:31.918572,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:32.033271,C9,POS,"axes: 1,units: 1",None,None
2021:10:12:14:35:32.141240,C9,ARM,"X: 160151, Y: 182500, Z: 187000, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:32.362652,C9,POS,"axes: 2,units: 1",None,None
2021:10:12:14:35:32.460479,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:32.614893,C9,POS,"axes: 0,units: 1",None,None
2021:10:12:14:35:32.717996,C9,ARM,"X: 160776, Y: 182500, Z: 187000, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:32.946646,C9,POS,C: 1,None,None
2021:10:12:14:35:33.079495,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:33.188219,C9,ARM,"X: 161401, Y: 182500, Z: 187000, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:33.428582,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:33.536488,C9,ARM,"X: 162027, Y: 182500, Z: 187000, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:34.276356,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:34.380032,C9,ARM,"X: 162652, Y: 182500, Z: 187703, gripper: 108980, elbow_bias: 2",None,None
2021:10:12:14:35:34.606825,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:14:35:34.719555,C9,ARM,"X: 163277, Y: 182500, Z: 197703, gripper: 108980, elbow_bias: 2",None,None
