Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:19:14:32:22.072894,C9,_init_,ftdi: None,,None
2021:10:19:14:32:22.075882,C9,PING,,None,None
2021:10:19:14:32:22.077877,C9,BIAS,,None,None
2021:10:19:14:32:22.080869,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:19:14:32:22.082863,C9,BIAS,bias: 0,None,None
2021:10:19:14:32:22.085856,C9,HOME,if_needed: 1,None,None
2021:10:19:14:32:22.088848,C9,SPED,,None,None
2021:10:19:14:32:22.090842,C9,BIAS,,None,None
2021:10:19:14:32:22.097824,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:10:19:14:32:22.099818,C9,BIAS,bias: 2,None,None
2021:10:19:14:32:22.101813,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:32:22.104805,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:32:22.109796,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:32:22.111791,C9,POS,C: 1,None,None
2021:10:19:14:32:22.115780,C9,JLEN,length_offset: 0,None,None
2021:10:19:14:32:22.116774,C9,ARM,"X: -141600, Y: 309300, Z: 310227, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.120762,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:32:22.127744,C9,ARM,"X: -141600, Y: 309300, Z: 310227, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.130736,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:32:22.132730,C9,ARM,"X: -141600, Y: 309300, Z: 310227, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.134725,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:32:22.142713,C9,ARM,"X: -141600, Y: 309300, Z: 310305, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.146698,C9,POS,C: 1,None,None
2021:10:19:14:32:22.148691,C9,ARM,"X: -141600, Y: 309300, Z: 310227, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.152677,C9,ARM,"X: -141600, Y: 309300, Z: 309680, gripper: 28986, elbow_bias: 2",None,None
2021:10:19:14:32:22.159659,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:32:22.161654,C9,ARM,"X: -141600, Y: 309300, Z: 300077, gripper: 28986, elbow_bias: 2",None,None
