Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:09:28:10:12:37.793838,C9,_init_,ftdi: None,,None
2021:09:28:10:12:39.581379,C9,PING,,None,None
2021:09:28:10:12:41.362052,C9,BIAS,,None,None
2021:09:28:10:12:42.762852,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:10:12:44.173655,C9,BIAS,bias: 0,None,None
2021:09:28:10:12:45.558689,C9,HOME,if_needed: 1,None,None
2021:09:28:10:12:46.879383,C9,CURR,axis: 0,None,None
2021:09:28:10:12:48.209960,C9,CURR,axis: 0,None,None
2021:09:28:10:12:49.532733,C9,CURR,axis: 0,None,None
2021:09:28:10:12:50.891107,C9,CURR,axis: 0,None,None
2021:09:28:10:12:52.213699,C9,CURR,axis: 0,None,None
2021:09:28:10:12:53.563727,C9,CURR,axis: 0,None,None
2021:09:28:10:12:55.013821,C9,CURR,axis: 0,None,None
2021:09:28:10:12:56.434073,C9,CURR,axis: 0,None,None
2021:09:28:10:12:58.035315,C9,CURR,axis: 0,None,None
2021:09:28:10:12:59.580028,C9,CURR,axis: 0,None,None
2021:09:28:10:13:00.641502,Tecan Cavro,_init_,ftdi: None,,None
2021:09:28:10:13:01.648796,Magnetic Stirrer,_init_,serial: COM12,,None
2021:09:28:10:13:02.634012,Magnetic Stirrer,IN_NAME,,None,None
2021:09:28:10:13:03.288228,Magnetic Stirrer,IN_PV_1,,None,None
2021:09:28:10:13:03.969988,Magnetic Stirrer,IN_PV_2,,None,None
2021:09:28:10:13:04.621600,Magnetic Stirrer,IN_SP_1,,None,None
2021:09:28:10:13:05.289228,Magnetic Stirrer,IN_PV_4,,None,None
2021:09:28:10:13:05.874899,Magnetic Stirrer,IN_SP_4,,None,None
2021:09:28:10:13:06.480939,Magnetic Stirrer,STOP_4,,None,None
2021:09:28:10:13:06.710318,Magnetic Stirrer,STOP_1,,None,None
2021:09:28:10:13:23.645847,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:09:28:10:13:24.360119,C9,OUTP,"output: 12, value: 1",None,None
2021:09:28:10:14:24.628002,C9,OUTP,"output: 12, value: 0",None,None
2021:09:28:10:58:11.131188,C9,_init_,ftdi: None,,None
2021:09:28:10:58:14.682903,C9,PING,,None,None
2021:09:28:10:58:17.936121,C9,BIAS,,None,None
2021:09:28:10:58:20.857310,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:10:58:23.503498,C9,BIAS,bias: 0,None,None
2021:09:28:10:58:26.559093,C9,HOME,if_needed: 1,None,None
2021:09:28:10:58:29.411890,C9,CURR,axis: 0,None,None
2021:09:28:10:58:32.063401,C9,CURR,axis: 0,None,None
2021:09:28:10:58:34.694132,C9,CURR,axis: 0,None,None
2021:09:28:10:58:37.424166,C9,CURR,axis: 0,None,None
2021:09:28:10:58:40.083572,C9,CURR,axis: 0,None,None
2021:09:28:10:58:42.709209,C9,CURR,axis: 0,None,None
2021:09:28:10:58:45.396734,C9,CURR,axis: 0,None,None
2021:09:28:10:58:48.099125,C9,CURR,axis: 0,None,None
2021:09:28:10:58:50.752602,C9,CURR,axis: 0,None,None
2021:09:28:10:58:53.436316,C9,CURR,axis: 0,None,None
2021:09:28:10:58:55.390981,Tecan Cavro,_init_,ftdi: None,,None
2021:09:28:10:58:57.140117,Magnetic Stirrer,_init_,serial: COM12,,None
2021:09:28:10:58:59.092926,Magnetic Stirrer,IN_NAME,,None,None
2021:09:28:10:59:00.343251,Magnetic Stirrer,IN_PV_1,,None,None
2021:09:28:10:59:01.506872,Magnetic Stirrer,IN_PV_2,,None,None
2021:09:28:10:59:02.661596,Magnetic Stirrer,IN_SP_1,,None,None
2021:09:28:10:59:03.854778,Magnetic Stirrer,IN_PV_4,,None,None
2021:09:28:10:59:04.990141,Magnetic Stirrer,IN_SP_4,,None,None
2021:09:28:10:59:06.240826,Magnetic Stirrer,STOP_4,,None,None
2021:09:28:10:59:06.728705,Magnetic Stirrer,STOP_1,,None,None
2021:09:28:10:59:23.477865,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:09:28:10:59:34.220991,C9,OUTP,"output: 12, value: 1",None,None
2021:09:28:11:00:34.471677,C9,OUTP,"output: 12, value: 0",None,None
2021:09:28:11:34:22.169879,C9,_init_,ftdi: None,,None
2021:09:28:11:34:25.475335,C9,PING,,None,None
2021:09:28:11:34:28.417447,C9,BIAS,,None,None
2021:09:28:11:34:31.152791,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:11:34:33.926812,C9,BIAS,bias: 0,None,None
2021:09:28:11:34:36.878632,C9,HOME,if_needed: 1,None,None
2021:09:28:11:34:39.547692,C9,CURR,axis: 0,None,None
2021:09:28:11:34:42.121034,C9,CURR,axis: 0,None,None
2021:09:28:11:34:44.773638,C9,CURR,axis: 0,None,None
2021:09:28:11:34:47.418709,C9,CURR,axis: 0,None,None
2021:09:28:11:34:50.120937,C9,CURR,axis: 0,None,None
2021:09:28:11:34:52.782748,C9,CURR,axis: 0,None,None
2021:09:28:11:34:55.450097,C9,CURR,axis: 0,None,None
2021:09:28:11:34:58.031928,C9,CURR,axis: 0,None,None
2021:09:28:11:35:00.722406,C9,CURR,axis: 0,None,None
2021:09:28:11:35:03.369119,C9,CURR,axis: 0,None,None
2021:09:28:11:35:05.298405,Tecan Cavro,_init_,ftdi: None,,None
2021:09:28:11:35:07.016879,Magnetic Stirrer,_init_,serial: COM12,,None
2021:09:28:11:35:08.910590,Magnetic Stirrer,IN_NAME,,None,None
2021:09:28:11:35:10.139378,Magnetic Stirrer,IN_PV_1,,None,None
2021:09:28:11:35:11.308842,Magnetic Stirrer,IN_PV_2,,None,None
2021:09:28:11:35:12.443374,Magnetic Stirrer,IN_SP_1,,None,None
2021:09:28:11:35:13.583129,Magnetic Stirrer,IN_PV_4,,None,None
2021:09:28:11:35:14.741014,Magnetic Stirrer,IN_SP_4,,None,None
2021:09:28:11:35:15.964086,Magnetic Stirrer,STOP_4,,None,None
2021:09:28:11:35:16.441613,Magnetic Stirrer,STOP_1,,None,None
2021:09:28:11:35:33.475182,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:09:28:11:37:32.397602,C9,OUTP,"output: 12, value: 1",None,None
2021:09:28:11:38:32.630778,C9,OUTP,"output: 12, value: 0",None,None
2021:09:28:11:45:10.315473,C9,_init_,ftdi: None,,None
2021:09:28:11:45:13.411337,C9,PING,,None,None
2021:09:28:11:45:16.327549,C9,BIAS,,None,None
2021:09:28:11:45:19.040023,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:11:45:21.833008,C9,BIAS,bias: 0,None,None
2021:09:28:11:45:24.541216,C9,HOME,if_needed: 1,None,None
2021:09:28:11:45:27.156892,C9,CURR,axis: 0,None,None
2021:09:28:11:45:29.752114,C9,CURR,axis: 0,None,None
2021:09:28:11:45:32.657492,C9,CURR,axis: 0,None,None
2021:09:28:11:45:35.591133,C9,CURR,axis: 0,None,None
2021:09:28:11:45:38.272305,C9,CURR,axis: 0,None,None
2021:09:28:11:45:40.893901,C9,CURR,axis: 0,None,None
2021:09:28:11:45:43.661069,C9,CURR,axis: 0,None,None
2021:09:28:11:45:46.956424,C9,CURR,axis: 0,None,None
2021:09:28:11:45:50.290130,C9,CURR,axis: 0,None,None
2021:09:28:11:45:53.351903,C9,CURR,axis: 0,None,None
2021:09:28:11:45:55.456203,Tecan Cavro,_init_,ftdi: None,,None
2021:09:28:11:45:57.443691,Magnetic Stirrer,_init_,serial: COM12,,None
2021:09:28:11:45:59.634953,Magnetic Stirrer,IN_NAME,,None,None
2021:09:28:11:46:01.219094,Magnetic Stirrer,IN_PV_1,,None,None
2021:09:28:11:46:02.503664,Magnetic Stirrer,IN_PV_2,,None,None
2021:09:28:11:46:03.692970,Magnetic Stirrer,IN_SP_1,,None,None
2021:09:28:11:46:04.860273,Magnetic Stirrer,IN_PV_4,,None,None
2021:09:28:11:46:06.011426,Magnetic Stirrer,IN_SP_4,,None,None
2021:09:28:11:46:07.243504,Magnetic Stirrer,STOP_4,,None,None
2021:09:28:11:46:07.762252,Magnetic Stirrer,STOP_1,,None,None
2021:09:28:11:46:24.932117,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:09:28:11:47:19.195197,C9,OUTP,"output: 12, value: 1",None,None
2021:09:28:11:48:19.429204,C9,OUTP,"output: 12, value: 0",None,None
2021:09:28:12:06:43.584762,C9,_init_,ftdi: None,,None
2021:09:28:12:06:46.826472,C9,PING,,None,None
2021:09:28:12:06:49.894880,C9,BIAS,,None,None
2021:09:28:12:06:52.642781,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:12:06:55.341945,C9,BIAS,bias: 0,None,None
2021:09:28:12:06:58.078138,C9,HOME,if_needed: 1,None,None
2021:09:28:12:07:00.757496,C9,CURR,axis: 0,None,None
2021:09:28:12:07:03.444917,C9,CURR,axis: 0,None,None
2021:09:28:12:07:06.102071,C9,CURR,axis: 0,None,None
2021:09:28:12:07:08.891686,C9,CURR,axis: 0,None,None
2021:09:28:12:07:11.583607,C9,CURR,axis: 0,None,None
2021:09:28:12:07:14.229625,C9,CURR,axis: 0,None,None
2021:09:28:12:07:16.866178,C9,CURR,axis: 0,None,None
2021:09:28:12:07:19.597158,C9,CURR,axis: 0,None,None
2021:09:28:12:07:22.294606,C9,CURR,axis: 0,None,None
2021:09:28:12:07:25.164894,C9,CURR,axis: 0,None,None
2021:09:28:12:07:27.366897,Tecan Cavro,_init_,ftdi: None,,None
2021:09:28:12:07:29.236770,Magnetic Stirrer,_init_,serial: COM12,,None
2021:09:28:12:07:31.160615,Magnetic Stirrer,IN_NAME,,None,None
2021:09:28:12:07:32.436842,Magnetic Stirrer,IN_PV_1,,None,None
2021:09:28:12:07:33.625751,Magnetic Stirrer,IN_PV_2,,None,None
2021:09:28:12:07:34.797973,Magnetic Stirrer,IN_SP_1,,None,None
2021:09:28:12:07:36.030837,Magnetic Stirrer,IN_PV_4,,None,None
2021:09:28:12:07:37.194942,Magnetic Stirrer,IN_SP_4,,None,None
2021:09:28:12:07:38.519238,Magnetic Stirrer,STOP_4,,None,None
2021:09:28:12:07:39.037355,Magnetic Stirrer,STOP_1,,None,None
2021:09:28:12:07:57.596004,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:09:28:12:13:50.723814,C9,OUTP,"output: 12, value: 1",None,None
2021:09:28:12:14:50.976022,C9,OUTP,"output: 12, value: 0",None,None
2021:09:28:12:17:28.994424,C9,_init_,ftdi: None,,None
2021:09:28:12:17:32.268577,C9,PING,,None,None
2021:09:28:12:17:35.633069,C9,BIAS,,None,None
2021:09:28:12:17:38.393129,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:28:12:17:41.083539,C9,BIAS,bias: 0,None,None
2021:09:28:12:17:43.745051,C9,HOME,if_needed: 1,None,None
2021:09:28:12:17:46.480578,C9,CURR,axis: 0,None,None
