Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:09:27:15:36:08.008678,C9,_init_,ftdi: None,,None
2021:09:27:15:36:08.433943,C9,PING,,None,None
2021:09:27:15:36:08.616467,C9,BIAS,,None,None
2021:09:27:15:36:08.772041,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:09:27:15:36:08.883897,C9,BIAS,bias: 0,None,None
2021:09:27:15:36:08.981483,C9,OUTP,"output: 0, value: 0",None,None
2021:09:27:15:36:09.114134,C9,JLEN,length_offset: 0,None,None
2021:09:27:15:36:09.231175,C9,ARM,"velocity: 20000, acceleration: 20000, X: -244600, Y: 120000, Z: 300000, gripper: -175510, elbow_bias: 0",None,None
2021:09:27:15:36:09.711899,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:09.857341,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:09.999831,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:10.130478,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:10.255424,C9,ARM,"velocity: 20000, acceleration: 20000, X: -244600, Y: 120000, Z: 167008, gripper: -175510, elbow_bias: 0",None,None
2021:09:27:15:36:11.706170,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:11.865151,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:12.002797,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:12.113525,C9,OUTP,"output: 0, value: 1",None,None
2021:09:27:15:36:12.250163,C9,ARM,"velocity: 20000, acceleration: 20000, X: -244600, Y: 120000, Z: 300000, gripper: -175510, elbow_bias: 0",None,None
2021:09:27:15:36:13.702492,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:13.823211,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:13.952862,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:14.077801,C9,ARM,"velocity: 20000, acceleration: 20000, X: -99500, Y: 149000, Z: 300000, gripper: -175500, elbow_bias: 0",None,None
2021:09:27:15:36:15.615379,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:15.741420,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:15.876361,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:16.009182,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:16.155793,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:16.271480,C9,ARM,"velocity: 20000, acceleration: 20000, X: -99500, Y: 149000, Z: 218000, gripper: -174500, elbow_bias: 0",None,None
2021:09:27:15:36:17.584007,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:17.719966,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:17.851614,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:17.982266,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.119445,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.259076,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.424901,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.569510,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.705211,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:36:18.862793,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:30.307444,C9,ARM,"velocity: 20000, acceleration: 20000, X: -99500, Y: 149000, Z: 300000, gripper: -174500, elbow_bias: 0",None,None
2021:09:27:15:37:31.547223,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:31.717300,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:31.871961,C9,ARM,"velocity: 20000, acceleration: 20000, X: -119500, Y: 149000, Z: 300000, gripper: -175500, elbow_bias: 0",None,None
2021:09:27:15:37:32.577170,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:32.749766,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:32.887937,C9,ARM,"velocity: 20000, acceleration: 20000, X: -119500, Y: 149000, Z: 218000, gripper: -174500, elbow_bias: 0",None,None
2021:09:27:15:37:34.209406,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:34.364193,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:34.553836,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:34.731342,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:34.881077,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:35.031249,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:35.198329,C9,MVNG,"axes: 1,2,3,0",None,None
2021:09:27:15:37:35.361159,C9,MVNG,"axes: 1,2,3,0",None,None
