Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:12:12:24:26.357637,C9,_init_,ftdi: None,,None
2021:10:12:12:24:27.045396,C9,PING,,None,None
2021:10:12:12:24:27.365380,C9,BIAS,,None,None
2021:10:12:12:24:27.636099,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:12:12:24:27.908370,C9,BIAS,bias: 0,None,None
2021:10:12:12:24:28.200053,C9,HOME,if_needed: 1,None,None
2021:10:12:12:24:28.632833,C9,CURR,axis: 0,None,None
2021:10:12:12:24:29.089159,C9,CURR,axis: 0,None,None
2021:10:12:12:24:29.546501,C9,CURR,axis: 0,None,None
2021:10:12:12:24:29.987080,C9,CURR,axis: 0,None,None
2021:10:12:12:24:30.381517,C9,CURR,axis: 0,None,None
2021:10:12:12:24:30.765040,C9,CURR,axis: 0,None,None
2021:10:12:12:24:31.152363,C9,CURR,axis: 0,None,None
2021:10:12:12:24:31.586763,C9,CURR,axis: 0,None,None
2021:10:12:12:24:31.999747,C9,CURR,axis: 0,None,None
2021:10:12:12:24:32.388704,C9,CURR,axis: 0,None,None
2021:10:12:12:24:32.718772,Tecan Cavro,_init_,ftdi: None,,None
2021:10:12:12:24:33.167177,Magnetic Stirrer,_init_,serial: COM9,,None
2021:10:12:12:24:33.369635,Magnetic Stirrer,IN_NAME,,None,None
2021:10:12:12:24:33.486998,Magnetic Stirrer,IN_PV_1,,None,None
2021:10:12:12:24:33.617798,Magnetic Stirrer,IN_PV_2,,None,None
2021:10:12:12:24:33.743198,Magnetic Stirrer,IN_SP_1,,None,None
2021:10:12:12:24:33.854897,Magnetic Stirrer,IN_PV_4,,None,None
2021:10:12:12:24:33.964029,Magnetic Stirrer,IN_SP_4,,None,None
2021:10:12:12:24:34.091852,Magnetic Stirrer,STOP_4,,None,None
2021:10:12:12:24:34.141910,Magnetic Stirrer,STOP_1,,None,None
2021:10:12:12:24:49.091389,UR3Arm,_init_,"host: 192.168.254.88, default_velocity: 250, max_velocity: 500, position_units: Units.MILLIMETERS, default_joint_velocity: 20.0, max_joint_velocity: 180.0, gripper_default_velocity: 0.5, gripper_default_force: 0.5, gripper_id: 1, gripper_base_port: 63352, gripper_connect: True, connect: True",,None
2021:10:12:12:25:12.126188,C9,OUTP,"output: 0, value: 0",None,None
2021:10:12:12:25:12.228284,C9,JLEN,length_offset: 0,None,None
2021:10:12:12:25:12.328579,C9,ARM,"velocity: 20000, acceleration: 20000, X: -140435, Y: 201967, Z: 300000, elbow_bias: 0",None,None
2021:10:12:12:25:13.405678,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:13.529521,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:13.639223,C9,ARM,"velocity: 20000, acceleration: 20000, X: -140435, Y: 201967, Z: 134850, elbow_bias: 0",None,None
2021:10:12:12:25:15.219669,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:15.336357,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:15.472361,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:15.577553,C9,OUTP,"output: 0, value: 1",None,None
2021:10:12:12:25:15.676281,C9,ARM,"velocity: 20000, acceleration: 20000, X: -140435, Y: 201967, Z: 300000, elbow_bias: 0",None,None
2021:10:12:12:25:17.268980,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:17.396814,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:17.523471,C9,MVNG,"axes: 1,2,3",None,None
2021:10:12:12:25:18.651910,C9,ARM,"velocity: 20000, acceleration: 20000, X: -223600, Y: 41040, Z: 300000, gripper: 52610, elbow_bias: 0",None,None
2021:10:12:12:25:19.992305,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:12:25:20.108989,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:12:12:25:20.266776,C9,MVNG,"axes: 1,2,3,0",None,None
