Timestamp,Module,Method_Name,Arguments,Responses,Exceptions
2021:10:19:14:53:26.703451,C9,_init_,ftdi: None,,None
2021:10:19:14:53:26.706419,C9,PING,,None,None
2021:10:19:14:53:26.708410,C9,BIAS,,None,None
2021:10:19:14:53:26.710405,C9,SPED,"velocity: 20000, acceleration: 20000",None,None
2021:10:19:14:53:26.716389,C9,BIAS,bias: 0,None,None
2021:10:19:14:53:26.719381,C9,HOME,if_needed: 1,None,None
2021:10:19:14:53:26.722373,C9,SPED,,None,None
2021:10:19:14:53:26.724368,C9,BIAS,,None,None
2021:10:19:14:53:26.726362,C9,SPED,"velocity: 40000, acceleration: 100000",None,None
2021:10:19:14:53:26.733344,C9,BIAS,bias: 2,None,None
2021:10:19:14:53:26.735343,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:53:26.737334,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:53:26.739328,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:53:26.742320,C9,POS,C: 1,None,None
2021:10:19:14:53:26.749301,C9,JLEN,length_offset: 0,None,None
2021:10:19:14:53:26.750298,C9,POS,"axes: 1,units: 1",None,None
2021:10:19:14:53:26.751296,C9,POS,"axes: 2,units: 1",None,None
2021:10:19:14:53:26.752293,C9,ARM,"X: -67700, Y: 212153, Z: 279620, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.755285,C9,POS,"axes: 0,units: 1",None,None
2021:10:19:14:53:26.758277,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.765259,C9,POS,C: 1,None,None
2021:10:19:14:53:26.767253,C9,ARM,"X: -67700, Y: 212153, Z: 277318, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.770249,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.773238,C9,ARM,"X: -67700, Y: 212153, Z: 274303, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.780224,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.783211,C9,ARM,"X: -67700, Y: 212153, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.786203,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.788197,C9,ARM,"X: -67700, Y: 212153, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.795189,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.798172,C9,ARM,"X: -77700, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.802160,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.804155,C9,ARM,"X: -87699, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.811141,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.813135,C9,ARM,"X: -97699, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.816123,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.818122,C9,ARM,"X: -107699, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.821109,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.827101,C9,ARM,"X: -117698, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.830085,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.832080,C9,ARM,"X: -127698, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.836069,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.838070,C9,ARM,"X: -137698, Y: 211293, Z: 271287, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.846043,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.848038,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.850032,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.852026,C9,ARM,"X: -137698, Y: 211293, Z: 261684, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.859010,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.862000,C9,ARM,"X: -137698, Y: 211293, Z: 252002, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.864992,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.867984,C9,ARM,"X: -137698, Y: 211293, Z: 242319, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.869979,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.876960,C9,ARM,"X: -137698, Y: 211293, Z: 232637, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.879952,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.881946,C9,ARM,"X: -137698, Y: 211293, Z: 223034, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.884938,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.891920,C9,ARM,"X: -137698, Y: 211293, Z: 213352, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.894912,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.896907,C9,ARM,"X: -137698, Y: 211293, Z: 203749, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.900896,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.910870,C9,ARM,"X: -137698, Y: 211293, Z: 194066, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.913865,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.916853,C9,ARM,"X: -137698, Y: 211293, Z: 184305, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.923835,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.926827,C9,ARM,"X: -137698, Y: 211293, Z: 174543, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.928821,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.930816,C9,OUTP,output: 0,None,None
2021:10:19:14:53:26.931817,C9,OUTP,"output: 0, value: 0",None,None
2021:10:19:14:53:26.932810,C9,ARM,"X: -137698, Y: 211293, Z: 174543, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.939792,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.941791,C9,ARM,"X: -137698, Y: 211293, Z: 165337, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.945781,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.947770,C9,ARM,"X: -137698, Y: 211293, Z: 155734, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.953755,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.955750,C9,ARM,"X: -137698, Y: 211293, Z: 156594, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.959738,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.960740,C9,ARM,"X: -137698, Y: 211293, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.963728,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.970709,C9,ARM,"X: -138333, Y: 211293, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.973702,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.976694,C9,ARM,"X: -146745, Y: 204965, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.979687,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.986667,C9,ARM,"X: -156665, Y: 203793, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:26.990671,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.992651,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:26.994645,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.000635,C9,ARM,"X: -156665, Y: 203793, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.003627,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.005617,C9,ARM,"X: -156665, Y: 204825, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.008608,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.010608,C9,ARM,"X: -146665, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.018581,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.020577,C9,ARM,"X: -146165, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.023568,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.026564,C9,ARM,"X: -145665, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.033542,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.035536,C9,ARM,"X: -145165, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.039529,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.041524,C9,ARM,"X: -144665, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.049502,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.052496,C9,ARM,"X: -144165, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.056480,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.058475,C9,ARM,"X: -143665, Y: 207602, Z: 164641, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.066453,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.067451,C9,ARM,"X: -143665, Y: 207602, Z: 155196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.070443,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.073434,C9,ARM,"X: -143665, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.082417,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.084406,C9,ARM,"X: -143665, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.087397,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.089392,C9,ARM,"X: -143165, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.096379,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.098372,C9,ARM,"X: -142665, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.101360,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.103358,C9,ARM,"X: -142165, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.106347,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.107344,C9,ARM,"X: -141665, Y: 207602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.116327,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.118315,C9,ARM,"X: -141665, Y: 207102, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.121307,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.123301,C9,ARM,"X: -141665, Y: 206602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.130283,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.132277,C9,ARM,"X: -141665, Y: 206102, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.134272,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.137264,C9,ARM,"X: -141665, Y: 205602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.144245,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.146240,C9,ARM,"X: -141665, Y: 205102, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.149237,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.151227,C9,ARM,"X: -141665, Y: 204602, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.158213,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.161200,C9,ARM,"X: -141665, Y: 204102, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.164192,C9,MVNG,"axes: 1,2,3,0",None,None
2021:10:19:14:53:27.166190,C9,ARM,"X: -141665, Y: 204102, Z: 150196, gripper: 28965, elbow_bias: 2",None,None
2021:10:19:14:53:27.173173,C9,MVNG,"axes: 1,2,3,0",None,None
